timestamp, name, bus_id, driver_version, temperature.aip [C], module_id, utilization.aip [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], index, serial, uuid, power.draw [W]
Tue Sep  3 19:04:22 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 41 C, 6, 82 %, 98304 MiB, 21527 MiB, 76776 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 497 W
Tue Sep  3 19:04:23 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 38 C, 6, 75 %, 98304 MiB, 21527 MiB, 76776 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 462 W
Tue Sep  3 19:04:24 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 42 C, 6, 70 %, 98304 MiB, 21527 MiB, 76776 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 353 W
Tue Sep  3 19:04:26 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 41 C, 6, 81 %, 98304 MiB, 38652 MiB, 59651 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 493 W
Tue Sep  3 19:04:27 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 35 C, 6, 0 %, 98304 MiB, 38652 MiB, 59651 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 92 W
Tue Sep  3 19:04:29 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 41 C, 6, 71 %, 98304 MiB, 21527 MiB, 76776 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 447 W
Tue Sep  3 19:04:31 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 35 C, 6, 0 %, 98304 MiB, 21527 MiB, 76776 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 60 W
Tue Sep  3 19:04:32 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 41 C, 6, 83 %, 98304 MiB, 21527 MiB, 76776 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 505 W
Tue Sep  3 19:04:34 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 35 C, 6, 76 %, 98304 MiB, 21527 MiB, 76776 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 430 W
Tue Sep  3 19:04:35 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 41 C, 6, 82 %, 98304 MiB, 21527 MiB, 76776 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 500 W
Tue Sep  3 19:04:37 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 41 C, 6, 83 %, 98304 MiB, 38652 MiB, 59651 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 492 W
Tue Sep  3 19:04:38 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 38 C, 6, 77 %, 98304 MiB, 21527 MiB, 76776 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 427 W
Tue Sep  3 19:04:40 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 41 C, 6, 82 %, 98304 MiB, 21527 MiB, 76776 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 501 W
Tue Sep  3 19:04:41 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 40 C, 6, 75 %, 98304 MiB, 21527 MiB, 76776 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 440 W
Tue Sep  3 19:04:43 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 39 C, 6, 0 %, 98304 MiB, 21527 MiB, 76776 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 61 W
Tue Sep  3 19:04:44 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 41 C, 6, 83 %, 98304 MiB, 21527 MiB, 76776 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 494 W
Tue Sep  3 19:04:46 UTC 2024, HL-225, 0000:06:00.0, 1.17.1-78932ae, 35 C, 6, 41 %, 98304 MiB, 21527 MiB, 76776 MiB, 0, AN27028680, 01P0-HL2080A0-15-THRR93-02-09-03, 351 W
